,CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Credit_Limit,Avg_Utilization_Ratio,Pay_on_time,Random_numbers
25,708160008,no,44,male,1,primary,married/living with partner,142805.86565298607,blue,33,34516.0,0.031,0,0.0535892132101852
26,708161133,no,45,male,1,third level,single,38407.23074478978,blue,32,6629.0,0.21,0,0.226175656526815
27,708170508,yes,38,male,2,third level,married/living with partner,69317.59343554922,blue,36,1438.3,0.0,1,0.662755177762251
28,708171858,no,33,female,3,third level,married/living with partner,44682.08582637925,blue,28,1864.0,0.58,0,0.934779564159734
29,708174708,no,38,male,4,third level,married/living with partner,34067.45725488554,blue,27,5535.0,0.231,0,0.838880120270189
30,708176208,no,48,female,1,third level,married/living with partner,47335.6449971533,blue,36,7268.0,0.0,1,0.456263444675115
31,708177333,no,51,female,2,secondary,married/living with partner,14290.502660909298,gold,36,11261.0,0.221,0,0.0101826840155131
32,708185208,no,27,male,0,third level,single,32849.28197678632,blue,16,3178.0,0.352,0,0.249719706554268
33,708186933,yes,33,male,1,third level,single,59775.44248703207,blue,36,1819.0,0.399,0,0.28946591705164
34,708190158,yes,38,female,3,secondary,single,16444.41796255791,blue,26,2920.0,0.831,0,0.674528517554705
35,708193008,no,41,male,4,primary,single,81366.81790258404,blue,30,14480.0,0.0,1,0.809032226782744
36,708195633,no,40,male,2,secondary,#NULL!,72205.28143453019,gold,32,34516.0,0.034,0,0.11777347263686
37,708205083,no,38,female,1,secondary,married/living with partner,18978.110973978473,blue,28,1438.3,0.0,1,0.637447209086998
38,708207783,no,50,female,3,secondary,single,9666.571440614429,blue,42,1477.0,0.0,1,0.982567870615611
39,708208758,no,53,male,1,third level,single,80445.41833484767,blue,45,1826.0,0.484,0,0.973119321114224
40,708211383,no,35,female,3,third level,single,7751.088538511268,blue,27,2664.0,0.0,1,0.917969732610449
41,708212658,no,38,female,3,third level,married/living with partner,9990.816332156432,blue,18,2193.0,0.575,0,0.788391026365634
42,708216108,no,56,female,1,third level,married/living with partner,35021.087466671626,blue,44,4088.0,0.381,0,0.357762457033237
43,708217758,no,63,male,2,third level,married/living with partner,64781.61923848742,blue,49,14035.0,0.147,0,0.841265348542299
44,708219108,no,49,male,3,third level,divorced,81811.97173422921,blue,38,9959.0,0.115,0,0.0367900942045193
45,708219858,no,39,male,2,third level,single,48465.421292849336,blue,26,6423.0,0.0,1,0.213567756862718
46,708222558,no,37,female,2,third level,married/living with partner,20074.05234931163,blue,36,2310.0,0.655,0,0.450890330760754
47,708224133,no,61,male,0,primary,single,41027.05996821633,blue,49,2228.0,0.664,0,0.32377155876191
48,708225483,no,47,male,4,third level,married/living with partner,101608.7966305101,blue,36,11242.0,0.139,0,0.719280422842437
49,708226833,no,53,male,1,secondary,married/living with partner,112987.47831777709,blue,44,34516.0,0.024,0,0.378451118765942
50,708234558,no,55,female,2,third level,divorced,2926.079095572419,blue,43,2239.0,0.598,0,0.651328892889035
51,708238833,no,57,female,3,secondary,married/living with partner,5042.69270692303,blue,36,3032.0,0.731,0,0.19348859738738
52,708241233,yes,52,female,3,third level,single,10795.476208666014,blue,47,2972.0,0.0,1,0.797503869006881
53,708242283,no,29,male,1,third level,single,61141.144883382105,blue,36,5346.0,0.0,1,0.0343653649593106
54,708243483,no,53,male,3,third level,married/living with partner,112805.05251327518,blue,43,14938.0,0.077,0,0.616796220359244
55,708245808,no,35,male,3,third level,married/living with partner,63973.615366898506,blue,36,19671.0,0.047,0,0.484710527435373
56,708249708,no,48,female,1,third level,married/living with partner,7638.494521751267,blue,39,4844.0,0.325,0,0.364080107095999
57,708252108,no,64,male,0,third level,single,37109.34569366073,blue,53,7362.0,0.259,0,0.406638731968635
58,708254733,no,41,female,4,third level,single,12987.261595313892,blue,36,2968.0,0.631,0,0.842498509443172
59,708255633,no,36,male,1,third level,single,107459.52788123526,blue,27,3761.0,0.455,0,0.343648794877288
60,708260208,no,43,female,5,primary,single,16898.181298614585,blue,36,2057.0,0.622,0,0.732877329493688
61,708266883,yes,34,female,2,third level,single,20206.921080962507,blue,36,1666.0,0.0,1,0.868323844521976
62,708267858,no,65,female,0,secondary,married/living with partner,35495.313118824,blue,36,6088.0,0.352,0,0.852440265638181
63,708269583,no,42,female,3,primary,divorced,12991.135076608789,blue,28,2029.0,0.679,0,0.49054187007004
64,708271833,no,42,male,3,third level,single,46527.03016600036,gold,36,15069.0,0.122,0,0.190551300860033
65,708272808,no,45,male,5,third level,single,6137.499349885645,blue,36,2718.0,0.542,0,0.817076764758338
66,708273858,no,40,male,3,third level,divorced,148023.99609082076,blue,30,34516.0,0.0,1,0.361213518851089
67,708276183,yes,52,female,3,third level,married/living with partner,24257.04448358154,blue,45,1760.0,0.0,1,0.402267951874302
68,708281433,no,57,female,2,third level,married/living with partner,12221.10194830207,blue,36,1438.3,0.0,1,0.796321644778599
69,708285108,no,42,male,4,third level,single,42820.452344335834,blue,36,6128.0,0.365,0,0.466223927330155
70,708286683,no,57,male,2,primary,single,84645.83573301345,blue,43,12045.0,0.145,0,0.645308015613417
71,708288108,yes,43,male,4,third level,#NULL!,97406.6617236539,blue,30,5639.0,0.274,0,0.836312724897375
72,708290208,no,43,female,3,secondary,married/living with partner,2975.242083404518,gold,31,13608.0,0.087,0,0.869136800470312
73,708292833,no,35,male,2,secondary,single,140469.61862522725,blue,36,27389.0,0.046,0,0.0931822217215901
74,708295533,no,65,female,0,third level,married/living with partner,13492.765377971711,blue,56,3549.0,0.53,0,0.669817850974598
75,708296883,no,44,female,3,third level,single,41593.54725028777,blue,38,11749.0,0.067,0,0.188085903116974
76,708298233,yes,49,female,3,third level,married/living with partner,5719.725908724494,blue,37,6184.0,0.0,1,0.815051321717263
77,708301683,yes,40,male,2,primary,married/living with partner,82708.21257718657,blue,30,20798.0,0.051,0,0.0859267457594682
78,708303108,no,50,female,2,third level,married/living with partner,8292.471297576894,blue,42,1770.0,0.964,0,0.626060979379026
79,708307533,no,42,male,2,primary,married/living with partner,58121.271983239785,blue,30,3086.0,0.0,1,0.71182245032759
80,708319908,yes,37,male,3,third level,single,83766.60928769512,blue,17,4116.0,0.358,0,0.823925775639979
81,708323208,yes,49,female,3,primary,married/living with partner,6086.071669424704,blue,36,1522.0,0.0,1,0.479822638045828
82,708330858,yes,57,male,3,third level,married/living with partner,117009.87175088994,blue,38,8249.0,0.167,0,0.881973594038832
84,708332808,no,47,male,2,primary,married/living with partner,32364.791756201725,blue,39,3471.0,0.0,1,0.414235923357085
85,708334158,no,46,female,3,third level,divorced,26659.00200900611,blue,34,9863.0,0.07,0,0.193346275246016
86,708337683,no,51,male,2,primary,single,58070.3596377191,blue,40,21800.0,0.041,0,0.882409536610819
87,708338958,no,58,female,1,third level,single,1699.622247667165,blue,36,3173.0,0.54,0,0.266910038167342
88,708340758,yes,41,male,4,secondary,married/living with partner,26095.823517210825,blue,32,7769.0,0.0,1,0.76075378865783
89,708341958,no,31,female,1,third level,divorced,18899.218305321607,blue,21,2061.0,0.924,0,0.0449656040340598
90,708347583,no,37,female,4,primary,married/living with partner,9972.170851845885,blue,36,2509.0,0.456,0,0.0655160750146246
91,708358683,no,46,male,2,third level,married/living with partner,75694.43250448108,gold,35,34516.0,0.036,0,0.547885958573073
92,708360108,no,50,male,1,third level,single,38501.36436485889,blue,41,2800.0,0.478,0,0.740457753950689
93,708361833,no,44,male,4,third level,married/living with partner,71368.08358849633,blue,36,19430.0,0.0,1,0.155575053846485
94,708367908,no,56,female,1,primary,married/living with partner,20963.519479186685,blue,47,3022.0,0.538,0,0.173365505913312
95,708369633,yes,34,female,3,third level,married/living with partner,22574.188195976756,blue,36,15487.0,0.119,0,0.973822097545765
96,708371733,no,41,female,3,secondary,married/living with partner,23763.323350751998,blue,15,4662.0,0.0,1,0.808072941761566
97,708375858,no,47,female,4,secondary,divorced,6820.731527470164,blue,36,2776.0,0.483,0,0.398081534297263
98,708378108,no,39,female,1,third level,married/living with partner,47793.26896953987,blue,36,2147.0,0.359,0,0.862366657908568
99,708382083,no,49,male,5,secondary,married/living with partner,79865.32831893962,blue,36,2292.0,0.0,1,0.0502657230458258
100,708384033,yes,45,female,3,primary,married/living with partner,6279.26957570867,blue,35,2745.0,0.897,0,0.97107169367789
101,708385533,yes,49,female,1,third level,married/living with partner,12158.513727749307,gold,36,11059.0,0.0,1,0.486739221330538
102,708387933,no,49,female,2,third level,married/living with partner,28300.606172052234,blue,37,5500.0,0.0,1,0.428943068631342
103,708390633,no,52,female,3,third level,married/living with partner,15441.70511187067,blue,44,2421.0,0.955,0,0.272785773343386
104,708393633,no,41,female,0,secondary,married/living with partner,21928.66431400823,blue,31,2685.0,0.613,0,0.144886277502953
105,708394908,no,44,male,0,secondary,single,45121.18453658647,blue,33,2337.0,0.617,0,0.805140127279279
106,708396033,no,45,female,2,primary,married/living with partner,11924.779488692135,blue,27,2490.0,0.425,0,0.0802453735462162
107,708398283,no,37,female,1,third level,married/living with partner,44642.384320167504,blue,29,4394.0,0.201,0,0.145730139235375
108,708399858,no,45,female,3,secondary,married/living with partner,16632.83214616511,blue,35,2548.0,0.883,0,0.806087488528648
109,708412758,yes,33,female,3,third level,single,19232.579519228617,blue,36,1457.0,0.0,1,0.397304021970592
110,708414033,no,50,male,4,third level,married/living with partner,34607.44648696349,blue,38,2845.0,0.405,0,0.316059359149838
111,708416433,yes,41,female,1,secondary,single,8668.73054823262,blue,36,2372.0,0.0,1,0.624772137825866
112,708419733,yes,47,male,3,third level,single,61251.167327050855,blue,39,22599.0,0.0,1,0.534283760306348
113,708421833,no,45,female,4,third level,single,6927.85836388066,blue,36,3342.0,0.753,0,0.813819558802362
114,708423933,no,51,male,2,third level,single,32938.26820683297,blue,40,6103.0,0.0,1,0.930835077580844
115,708426483,no,56,female,2,third level,single,1548.5295017273936,blue,36,5816.0,0.123,0,0.111205090243058
116,708431433,no,41,male,3,third level,married/living with partner,149627.29060663658,blue,31,11789.0,0.12,0,0.826618679946346
117,708433683,no,54,male,2,third level,married/living with partner,93393.81047263426,blue,37,3164.0,0.696,0,0.985189436043118
118,708434733,no,56,male,1,third level,married/living with partner,64673.413517564324,blue,50,6735.0,0.34,0,0.272482256206754
119,708445608,no,48,male,3,third level,married/living with partner,1183.174094850482,blue,37,3305.0,0.762,0,0.257859331744236
120,708446808,no,33,male,1,third level,married/living with partner,91420.89553892624,blue,36,2946.0,0.461,0,0.884539950598055
121,708447858,no,59,female,2,primary,married/living with partner,23002.40452189678,blue,36,3850.0,0.0,1,0.116547848315761
122,708453408,no,40,male,4,third level,divorced,83713.05021576796,blue,31,16050.0,0.0,1,0.109305450736164
123,708455883,yes,57,male,1,third level,single,82602.10805309912,blue,36,10244.0,0.084,0,0.290548888014677
124,708459633,no,38,male,2,secondary,married/living with partner,58963.757915602175,blue,26,5815.0,0.292,0,0.0881399703653402
125,708462258,no,51,female,1,secondary,married/living with partner,29237.128633019216,blue,38,5189.0,0.226,0,0.26060065056794
126,708472008,no,44,female,3,primary,married/living with partner,11436.271822175448,blue,36,6680.0,0.275,0,0.237700085826507
127,708473133,no,55,female,1,third level,married/living with partner,4936.1726968343655,blue,45,1677.0,0.0,1,0.635522199406019
128,708474333,no,42,male,3,third level,married/living with partner,63899.80226818338,blue,29,12294.0,0.205,0,0.361987208708082
129,708478233,no,48,female,3,third level,married/living with partner,34270.92932133212,blue,36,5573.0,0.222,0,0.958990990984346
130,708482658,no,41,male,3,third level,married/living with partner,80383.17438033865,blue,31,9959.0,0.195,0,0.259331762886534
131,708488208,no,57,female,3,primary,married/living with partner,6164.351047802084,blue,47,2515.0,0.764,0,0.672643425065276
132,708489258,no,40,female,3,third level,married/living with partner,13499.70880482707,blue,27,1438.3,0.687,0,0.920753775606796
133,708494583,no,49,female,3,primary,divorced,23328.02819810637,blue,36,1902.0,0.0,1,0.491764635348367
134,708496833,yes,60,male,1,secondary,single,10663.984703805134,blue,50,4613.0,0.0,1,0.754884555204201
135,708499608,no,49,male,5,third level,single,40424.39271137464,gold,36,15525.0,0.084,0,0.450867391250731
136,708500883,no,48,male,2,primary,single,48385.2852101172,gold,40,17812.0,0.0,1,0.485022939282436
137,708501783,yes,43,male,2,secondary,married/living with partner,128245.28377333331,blue,36,34516.0,0.043,0,0.139695208974051
138,708502908,no,61,male,2,secondary,single,60803.773595629726,gold,48,26218.0,0.0,1,0.602055820706296
139,708506508,no,54,male,3,secondary,married/living with partner,116384.35111124584,blue,43,2884.0,0.397,0,0.248307089626831
140,708507483,no,43,female,3,third level,divorced,5296.487603913925,blue,31,1477.0,0.0,1,0.807515799275515
141,708508758,yes,62,female,0,third level,married/living with partner,15533.964106878286,blue,49,1438.3,0.0,1,0.740086904946182
142,708510858,no,60,female,1,primary,single,4713.792719831958,blue,47,4905.0,0.492,0,0.682180486747306
143,708511983,no,37,male,3,third level,married/living with partner,93752.56496935453,blue,18,1663.0,0.0,1,0.745455118004379
144,708513183,no,39,male,1,primary,married/living with partner,44009.64626207321,blue,29,4323.0,0.293,0,0.0892645250686439
145,708515358,no,40,female,1,secondary,married/living with partner,11682.795334902527,blue,36,4712.0,0.0,1,0.362193487184624
146,708516558,no,37,female,2,secondary,married/living with partner,22969.326285802606,blue,36,2588.0,0.689,0,0.893921128304984
147,708522033,no,50,male,2,third level,married/living with partner,56919.33975181008,blue,36,12299.0,0.135,0,0.522525865841071
148,708532308,no,37,male,2,primary,single,66228.47721500174,blue,36,11419.0,0.22,0,0.453767103137245
149,708534033,no,45,female,3,third level,single,33738.38892480596,blue,36,6274.0,0.141,0,0.3554871619429
150,708535158,no,39,male,2,third level,#NULL!,98479.6357335653,blue,29,9959.0,0.151,0,0.0515314775331892
151,708536283,yes,35,male,1,third level,single,83486.6369636334,blue,27,2904.0,0.867,0,0.133021017770715
152,708542283,no,58,female,1,third level,married/living with partner,17339.072197251055,blue,47,2495.0,0.826,0,0.921105585814354
153,708543258,no,36,male,3,secondary,married/living with partner,74035.56358461388,blue,36,2607.0,0.721,0,0.38604115202071
154,708545058,no,45,female,2,third level,single,47092.88015132661,blue,36,1438.3,0.686,0,0.829471045669502
155,708549033,no,50,female,1,secondary,married/living with partner,28222.083192220107,blue,32,2055.0,0.621,0,0.57006055305547
156,708551508,no,51,female,2,third level,single,5109.537194759652,blue,37,3264.0,0.768,0,0.998827671118926
157,708553008,no,38,female,1,secondary,single,47804.53766043323,blue,36,2148.0,0.514,0,0.733131975598389
158,708555633,no,32,female,1,secondary,single,8691.555055739136,blue,16,3548.0,0.709,0,0.469224367327251
159,708557358,no,43,male,2,third level,married/living with partner,68699.51655574187,blue,28,22157.0,0.061,0,0.227903378307162
160,708558408,no,50,male,3,secondary,single,34099.455715703494,blue,31,9949.0,0.161,0,0.307593219613549
161,708559533,no,40,male,1,primary,married/living with partner,104286.16403791035,blue,36,1770.0,0.33,0,0.842835479283287
162,708560733,no,42,female,3,third level,divorced,29621.262355925486,blue,36,3714.0,0.678,0,0.288374928705524
163,708564858,yes,33,male,2,third level,married/living with partner,120052.66048907094,blue,20,34516.0,0.0,1,0.790344055668419
164,708568983,no,40,male,3,secondary,married/living with partner,59323.9014440197,blue,28,11476.0,0.206,0,0.256115991928693
165,708572658,no,49,male,5,third level,married/living with partner,53886.543413194326,gold,38,29531.0,0.071,0,0.860500700304281
166,708575058,yes,46,female,3,primary,divorced,42024.503688055906,blue,39,3157.0,0.306,0,0.275513856038982
167,708580908,no,56,male,3,secondary,married/living with partner,57345.33453101305,blue,37,14551.0,0.173,0,0.936863643351798
168,708582858,no,38,male,3,third level,single,61484.03792734523,blue,25,18293.0,0.0,1,0.0943667158316179
169,708585933,no,44,female,4,secondary,single,28839.879398483103,blue,36,1656.0,0.863,0,0.0394685473607881
170,708588408,no,53,male,3,primary,single,68945.72599517094,blue,36,6836.0,0.235,0,0.456730091133296
171,708593883,no,39,male,2,third level,married/living with partner,63720.93140950568,blue,26,2731.0,0.576,0,0.56134533677346
172,708595158,no,27,female,0,third level,single,23919.808538695015,blue,36,1677.0,0.953,0,0.721540061281935
173,708596283,no,35,female,3,primary,single,12638.42395689531,blue,23,2858.0,0.438,0,0.925364407694323
174,708597558,no,42,male,3,secondary,single,53489.46190140792,blue,36,3337.0,0.238,0,0.424628416019027
175,708600033,no,46,male,2,third level,married/living with partner,37009.30918334962,blue,39,1610.0,0.0,1,0.641763950639511
176,708606633,yes,56,female,3,third level,married/living with partner,45942.49499109744,blue,44,1544.0,0.0,1,0.124243229457992
177,708614058,no,56,female,2,third level,divorced,13860.70982063297,blue,45,1960.0,0.862,0,0.52828108631892
178,708618933,no,34,male,2,primary,single,135676.94999681006,blue,13,4369.0,0.469,0,0.820139145682029
179,708623283,no,35,male,2,primary,single,63677.59439206169,blue,16,18278.0,0.0,1,0.236801129710184
180,708626058,no,49,female,2,primary,married/living with partner,7355.505174192674,blue,34,5242.0,0.279,0,0.519437054242621
181,708633783,yes,43,male,3,primary,single,86075.3696008473,blue,30,11336.0,0.0,1,0.189975264646143
182,708635058,no,53,female,0,secondary,single,26286.464294196016,blue,44,1904.0,0.465,0,0.35668172069381
183,708644208,no,39,female,2,third level,single,48106.42052398782,blue,34,5858.0,0.0,1,0.950860043466171
184,708649683,no,51,male,2,secondary,single,62768.39293786673,blue,42,16703.0,0.068,0,0.209010763367238
185,708651933,no,56,male,2,third level,married/living with partner,60651.82541384499,blue,44,2043.0,0.944,0,0.209368055503133
186,708652908,no,47,female,5,primary,married/living with partner,24607.03490402312,blue,36,2291.0,0.619,0,0.476089839931514
187,708653958,yes,38,male,3,third level,married/living with partner,65838.79833604372,blue,36,6114.0,0.239,0,0.572297869155853
188,708654933,yes,51,female,2,third level,married/living with partner,23256.900478025993,gold,42,15987.0,0.012,0,0.907228910580032
189,708657033,no,60,female,2,third level,single,11710.822729651922,blue,54,2694.0,0.714,0,0.282307564121667
190,708660408,yes,40,female,1,third level,married/living with partner,34801.46565728837,blue,36,1737.0,0.972,0,0.93135425450455
191,708664008,no,57,male,3,third level,married/living with partner,93167.98724713986,blue,45,14270.0,0.0,1,0.475507123795894
192,708665133,no,40,male,2,third level,married/living with partner,79211.9583129291,blue,28,3654.0,0.321,0,0.0144391077225861
193,708668283,no,39,male,2,third level,married/living with partner,72983.67252420522,blue,22,5140.0,0.49,0,0.329674206333367
194,708669408,no,54,male,5,third level,single,62400.10215743354,blue,45,20401.0,0.0,1,0.88547891917617
195,708671733,no,48,male,4,third level,married/living with partner,60990.48461970317,blue,36,2072.0,0.723,0,0.763444195420029
196,708680583,no,53,female,1,third level,married/living with partner,37281.779829538806,blue,36,2043.0,0.778,0,0.13202366073692
197,708684108,yes,46,female,4,third level,married/living with partner,33497.26718322602,blue,34,4152.0,0.348,0,0.938755986344959
198,708687483,yes,54,female,4,third level,single,9645.910723634714,gold,36,13626.0,0.0,1,0.132693606129474
199,708688608,no,62,female,1,secondary,married/living with partner,15024.499243930823,blue,48,3140.0,0.632,0,0.572172942982955
200,708692583,yes,44,female,2,secondary,single,9293.2527343023,blue,31,1506.0,0.112,0,0.433327977346746
201,708693558,no,50,female,3,secondary,single,21072.163255580454,gold,38,12569.0,0.172,0,0.842085734958181
202,708697983,no,56,male,0,secondary,#NULL!,115140.3001232527,blue,49,34516.0,0.062,0,0.683659699182278
203,708699108,no,39,female,2,secondary,single,8642.424152296879,blue,36,1438.3,0.594,0,0.553159366177724
204,708701358,no,39,female,2,primary,single,6344.264011954496,blue,36,2370.0,0.857,0,0.470548265422004
205,708705783,yes,47,male,3,third level,married/living with partner,58926.31622369178,blue,36,1584.0,0.766,0,0.338026827975466
206,708707808,no,57,male,2,third level,#NULL!,52069.80884554459,blue,45,2480.0,0.639,0,0.956484929097122
207,708708858,yes,50,female,1,third level,single,1400.63353661261,blue,36,2422.0,0.207,0,0.672464112604004
208,708710283,no,45,male,5,third level,married/living with partner,134758.20371566134,gold,36,34516.0,0.059,0,0.677907249514138
209,708712833,no,45,female,5,third level,married/living with partner,14718.348837165951,blue,36,2289.0,0.453,0,0.520656019952265
210,708714108,no,42,female,3,secondary,single,11542.324218359254,gold,31,13441.0,0.187,0,0.165774518958374
211,708720558,no,44,male,3,third level,married/living with partner,54292.93052724658,blue,30,4489.0,0.0,1,0.652093417605657
212,708721533,no,56,female,1,third level,married/living with partner,25417.654838191367,blue,36,5158.0,0.223,0,0.473876000260566
213,708722583,no,39,female,4,primary,single,12301.222980100001,blue,36,2609.0,0.635,0,0.816241851565999
214,708723858,no,48,female,4,third level,single,25392.453561003073,blue,37,3413.0,0.502,0,0.554781367295186
215,708724908,no,47,female,2,secondary,single,17705.893522219467,blue,35,2262.0,0.0,1,0.310942630846002
216,708726708,yes,42,female,3,third level,single,46920.34096946698,blue,36,1451.0,0.413,0,0.0794368374279374
217,708727983,no,62,male,0,primary,single,56372.662836465395,blue,36,3933.0,0.0,1,0.924702168456918
218,708731658,yes,53,female,0,secondary,married/living with partner,2540.170883027798,blue,41,1438.3,0.0,1,0.479733638471176
219,708733983,yes,50,female,1,third level,single,47977.99051905572,blue,36,5349.0,0.447,0,0.765934360411209
220,708735183,no,35,female,2,secondary,married/living with partner,22490.511706674053,blue,22,2544.0,0.726,0,0.331045478335755
221,708736608,yes,40,male,3,third level,married/living with partner,144500.6856491444,blue,27,2269.0,0.0,1,0.159884571033905
222,708740808,no,45,male,4,third level,married/living with partner,45698.94238942929,blue,36,4112.0,0.0,1,0.422190954413117
223,708741633,no,52,male,4,secondary,married/living with partner,69986.86812951896,blue,44,4153.0,0.0,1,0.390301768693127
224,708744933,no,35,male,2,secondary,married/living with partner,59718.76819000945,blue,36,19127.0,0.098,0,0.235483394699919
225,708747708,no,43,male,3,third level,married/living with partner,75278.03186148795,blue,33,3498.0,0.0,1,0.273802122712887
226,708748833,no,37,female,3,third level,single,39686.32414750884,blue,25,9875.0,0.125,0,0.29743687535763
227,708753633,no,45,female,3,third level,married/living with partner,40356.74460134103,blue,32,1438.3,0.0,1,0.964640950823223
228,708757233,no,44,female,2,secondary,married/living with partner,4834.655400839853,blue,32,2485.0,0.599,0,0.141042513480885
229,708758658,no,49,male,4,third level,married/living with partner,107151.57104221286,blue,39,34516.0,0.016,0,0.126624659116659
230,708759408,no,48,female,3,primary,single,41103.884292164876,blue,39,4207.0,0.0,1,0.232266903658374
231,708760458,no,47,male,1,secondary,single,102618.3341737018,blue,36,17655.0,0.0,1,0.388241253376088
232,708765933,no,46,male,2,third level,married/living with partner,66845.54027301521,blue,36,5464.0,0.162,0,0.126501239878811
233,708768258,no,51,female,4,third level,married/living with partner,6640.909855671959,blue,43,2066.0,0.521,0,0.0788592211372567
234,708770883,no,43,male,2,primary,married/living with partner,74163.91159361502,blue,24,16667.0,0.088,0,0.544808809214215
235,708772308,no,41,male,3,primary,married/living with partner,106915.2004927673,blue,24,4119.0,0.402,0,0.575391823484345
236,708773583,no,52,female,3,third level,#NULL!,34295.39536257726,blue,45,10859.0,0.157,0,0.305587104933082
237,708774708,no,47,female,4,third level,#NULL!,48735.67313297675,blue,29,2636.0,0.603,0,0.390983634367874
238,708780783,no,43,female,3,third level,single,35531.302042059135,blue,33,2434.0,0.48,0,0.849708847538201
239,708784083,no,47,female,3,primary,single,26779.551233356757,blue,36,2723.0,0.583,0,0.73858109030102
240,708793008,yes,46,male,3,third level,divorced,101805.5033010956,blue,35,9949.0,0.0,1,0.906591150265414
241,708796458,no,30,female,2,third level,single,23122.230893673164,blue,18,4199.0,0.453,0,0.0605820490514225
242,708799983,yes,40,male,1,third level,married/living with partner,61564.38293354849,blue,36,18386.0,0.048,0,0.220675492737828
243,708801108,yes,57,female,3,primary,single,13660.115924961281,blue,51,1438.3,0.0,1,0.839580474945432
244,708804633,yes,44,female,2,third level,divorced,25261.899610108256,blue,36,1916.0,0.0,1,0.724913472278415
245,708805908,yes,30,male,2,third level,married/living with partner,23733.575014996542,gold,18,10017.0,0.072,0,0.908518010526091
246,708807483,no,51,female,3,third level,married/living with partner,36552.51819421959,blue,45,9117.0,0.138,0,0.489328628081959
247,708809283,yes,41,female,4,third level,divorced,44710.7515485491,blue,33,10360.0,0.243,0,0.866566106993271
248,708811233,no,37,male,2,third level,married/living with partner,101000.6771350349,blue,27,12702.0,0.158,0,0.257056370830457
249,708813033,no,47,male,1,third level,single,31588.074663616793,blue,36,6509.0,0.312,0,0.125012619441834
250,708816408,no,41,male,4,primary,single,107976.12577559295,blue,32,21756.0,0.0,1,0.473702977716676
251,708820308,no,47,male,3,third level,#NULL!,72369.01243456845,blue,36,13399.0,0.187,0,0.153426232556714
252,708822783,no,53,female,2,secondary,single,9888.04406453791,blue,36,2973.0,0.847,0,0.302482647522875
253,708823908,no,41,male,3,third level,single,51642.97495446184,blue,28,16443.0,0.083,0,0.953255928813745
